Account Number,Description,Account Type
00-10000,Cage/Vault,Posting Account
00-10001,Cage/Vault Contra,Posting Account
00-10002,Cash On Hand-Other 1,Posting Account
00-10003,Cash On Hand-Other 2,Posting Account
00-10004,Floating Banks,Posting Account
00-10005,F&B Banks,Posting Account
00-10006,Hotel Banks,Posting Account
00-10007,Cage Cashier Banks,Posting Account
00-10008,Retail Banks,Posting Account
00-10009,TRU Kiosks,Posting Account
00-10010,Standalone ATM,Posting Account
00-10011,Other ATMs,Posting Account
00-10012,Proceeds From Asset Sale,Posting Account
00-10013,Admin-Concession Suspense,Posting Account
00-10014,Admin-Bar Suspense,Posting Account
00-10015,Admin- Visitor Center Clearing,Posting Account
00-10016,Admin-Machine Revenue Accrual,Posting Account
00-10017,Admin-Jackpot Clearing,Posting Account
00-10018,Admin-Misc Cash Receipts Clearing,Posting Account
00-10019,Admin-Misc Cash DisbursementClearing,Posting Account
00-10020,Admin-Restaurant Clearing,Posting Account
00-10021,Admin- Credit Card Clearing,Posting Account
00-10022,Admin-Hotel Clearing,Posting Account
00-10023,Admin-Gift Shop Clearing,Posting Account
00-10024,Admin-Pettty Cash,Posting Account
00-10500,Internal DIT - Slots,Posting Account
00-10501,Internal DIT - Ent,Posting Account
00-10502,Internal DIT - F&B,Posting Account
00-10503,Internal DIT - Retail,Posting Account
00-10504,Internal DIT - Hotel,Posting Account
00-10505,Internal DIT - Other 1,Posting Account
00-11000,Payroll Account-USB 8036,Posting Account
00-11001,TCB - PAYROLL ACCT,Posting Account
00-11002,Depository Account-USB 8028,Posting Account
00-11003,Merchant Acct.  8044,Posting Account
00-11004,Prize Account,Posting Account
00-11005,TCB - AP/ USB HOLIDAY INN,Posting Account
00-11006,USB - Operating 8051,Posting Account
00-11007,TCB - GENERAL ACCT,Posting Account
00-11008,Pinnacle Debt Service Reserve,Posting Account
00-11009,Savings Account-Bank 2,Posting Account
00-11010,Flexible Savings-Bank 2,Posting Account
00-11011,Savings Account-Bank 3,Posting Account
00-11012,Credit Card Clearing,Posting Account
00-11013,Bank Account Clearing,Posting Account
00-11014,Cash Clearing,Posting Account
00-12000,A/R Related Companies,Posting Account
00-12001,A/R Employees,Posting Account
00-12002,A/R Employee Group Insurance,Posting Account
00-12003,A/R Catering,Posting Account
00-12004,A/R Hotel,Posting Account
00-12005,A/R Hotel Deposit Ledger,Posting Account
00-12006,A/R Other,Posting Account
00-12007,Allowance for Doubtful Accts,Posting Account
00-12008,A/R Global e-checks,Posting Account
00-12009,City Ledger,Posting Account
00-12010,A/R ATM,Posting Account
00-12011,Accounts Rec - Credit Cards Tobacco,Posting Account
00-12012,Accounts Rec-Credit Cards F&B,Posting Account
00-12013,Accounts Rec - Credit Cards Hotel,Posting Account
00-12014,Admin-A/R Credit Cards VC,Posting Account
00-12015,Admin-A/R Tribe,Posting Account
00-12016,AccRec Credit Card Otter Creek,Posting Account
00-13000,Inv Restaurant F & B,Posting Account
00-13002,Inv F&B - Cafe,Posting Account
00-13003,Inv F&B - The Deli,Posting Account
00-13004,Inv F&B - EDR,Posting Account
00-13005,Inv F&B - Catering,Posting Account
00-13006,Inv F&B - Room Svc,Posting Account
00-13007,Inv F&B - Bakery,Posting Account
00-13008,Inv Bev - Resort,Posting Account
00-13009,Inv Alcohol,Posting Account
00-13010,Inv Alcohol - Other 1,Posting Account
00-13011,Inv Alcohol - Other 2,Posting Account
00-13012,Inv Alcohol - Catering,Posting Account
00-13013,Inv Alcohol - Room Svc,Posting Account
00-13014,Inventory Liquor,Posting Account
00-13015,Inventory IT- Computers Hotel/Casino,Posting Account
00-13016,Inventory IT- Computers Hotel/Casino,Posting Account
00-13017,Inventory IT- Printers Hotel/Casino,Posting Account
00-13018,Inventory IT- Printers Hotel/Casino,Posting Account
00-13019,Inventory IT- Other 1,Posting Account
00-13020,Inv Retail - Sundries,Posting Account
00-13021,Inv Retail - Gift Shop Storage,Posting Account
00-13022,Inv Retail -,Posting Account
00-13023,Inventory Hotel,Posting Account
00-13024,Inv Retail-Hotel/Casino BOH,Posting Account
00-13025,Inv Tobacco - Cigarettes,Posting Account
00-13026,Inv Tobacco - Cigars,Posting Account
00-13027,Inv Tobacco - Snuff,Posting Account
00-13028,Inv Tobacco - Chew,Posting Account
00-13029,Inventory Promotions,Posting Account
00-13030,Inventory Uniforms,Posting Account
00-13031,Inventory Supplies,Posting Account
00-13032,Inventory Stock - China/Glass,Posting Account
00-13033,Inventory Stock - Silverwear,Posting Account
00-13034,Inventory Stock - Linen,Posting Account
00-13035,Inventory Stock - Towels,Posting Account
00-13036,Inventory Stock - Uniforms,Posting Account
00-13037,Inventory Stock - Other,Posting Account
00-13038,Admin-Hotel,Posting Account
00-13039,Admin-Hotel,Posting Account
00-13040,Admin-Hotel,Posting Account
00-13041,Admin-Hotel,Posting Account
00-13042,Admin-Hotel,Posting Account
00-13043,Admin-Gift Shop,Posting Account
00-13044,Admin-Gift Shop,Posting Account
00-13045,Admin-Gift Shop,Posting Account
00-13046,Admin-Special Events,Posting Account
00-14000,Prepaid State Fees,Posting Account
00-14001,Prepaid Regulatory Fees-ShortT,Posting Account
00-14002,Prepaid Regulatory Fees-Long T,Posting Account
00-14003,Prepaid Loan Costs-Hotel,Posting Account
00-14004,Prepaid Insurance,Posting Account
00-14005,Prepaid Printing,Posting Account
00-14006,Prepaid Service Contracts,Posting Account
00-14007,Prepaid Postage,Posting Account
00-14008,Prepaid Travel,Posting Account
00-14009,Prepaid Other,Posting Account
00-14010,Prepaid Licences,Posting Account
00-14011,Prepaid Comps,Posting Account
00-14012,Prepaid Clearing,Posting Account
00-14013,Prepaid Advertising,Posting Account
00-14014,Prepaid Trade Show,Posting Account
00-14015,Prepaid Trade Show-Advances,Posting Account
00-14016,Prepaid Audit Fees,Posting Account
00-14017,Prepaid Marketing,Posting Account
00-14018,Prepaid Rent,Posting Account
00-14019,Prepaid Health-Dental Insurance,Posting Account
00-15000,Hotel Guest Ledger,Posting Account
00-15001,Deposits,Posting Account
00-15002,Pre-Opening Expenses,Posting Account
00-15003,Pre-Opening F&B,Posting Account
00-15004,Pre-Opening Marketing,Posting Account
00-16000,Other Assets-China,Posting Account
00-16001,Other Assets-Linens,Posting Account
00-16002,Other Assets-Supplies,Posting Account
00-16003,Other Assets-Uniforms,Posting Account
00-16004,Other Assets-Prepd Loan Costs,Posting Account
00-16005,SWAP Deferred Charges,Posting Account
00-16006,Intangible Assets,Posting Account
00-16007,Refurbishment in Progress,Posting Account
00-16008,Refurbishment - Slots,Posting Account
00-16009,Refurbishment - On Line System,Posting Account
00-16010,Structure in Progess - WWTP,Posting Account
00-16011,Construction In Progress,Posting Account
00-16012,Other Assets,Posting Account
00-17000,Fixed Assets Cip Maintenance,Posting Account
00-17001,Land Improvements,Posting Account
00-17005,Building- Hotel/Casino,Posting Account
00-17006,Building Improvements,Posting Account
00-17010,Capital Lease-Building,Posting Account
00-18000,Fixed Asset Clearing,Posting Account
00-18001,Fixed Assets CIP,Posting Account
00-18003,Admin-Storage Units,Posting Account
00-18004,Admin-Equipment,Posting Account
00-18005,"F, F & E-Gaming",Posting Account
00-18006,"F, F & E",Posting Account
00-18008,"Admin-F, F & E",Posting Account
00-18009,Artwork,Posting Account
00-18011,Computer Equipment,Posting Account
00-18012,Admin-Computer Software,Posting Account
00-18013,Telephone System,Posting Account
00-18014,Admin-Signage,Posting Account
00-18017,Other Tangible Fixed Assets,Posting Account
00-18020,Vehicles,Posting Account
00-18022,Vehicles-Maintenance,Posting Account
00-19000,Accum Depr - Land Impr,Posting Account
00-19001,Accum Depr - Building,Posting Account
00-19002,Accum Depr - Building Impr,Posting Account
00-19003,Accum Depr - Equipment,Posting Account
00-19004,Accum Depr- Software,Posting Account
00-19005,Accum Depr - Telephone,Posting Account
00-19006,"Accum Depr - F,F & E",Posting Account
00-19007,Accum Depr - Computer Equipment,Posting Account
00-19008,Accum Depr - Signage,Posting Account
00-19009,Accum Depr - Vehicles,Posting Account
00-19010,Accum Depr - Artwork,Posting Account
00-19011,Accumulated Depreciation- Gaming Equipment,Posting Account
00-20000,A/P Trade,Posting Account
00-20001,A/P MMS Accruals,Posting Account
00-20002,A/P Accrued Expenses,Posting Account
00-20003,A/P Accrued Expenses-Palace We,Posting Account
00-20004,A/P Golf Course Fees,Posting Account
00-20005,Note Payable- OTHER,Posting Account
00-20011,Credit Card Payable US Bank 3827,Posting Account
00-20012,Credit Card Payable US Bank 9257,Posting Account
00-21000,Accrued Interest,Posting Account
00-21001,Customer Refunds Due,Posting Account
00-21002,Wide Area Progr Contr To Sodak,Posting Account
00-21003,Contract Liability,Posting Account
00-21004,Accrued Payroll,Posting Account
00-21005,Accrued Employee Refunds,Posting Account
00-21006,Accrued Incentive Comp,Posting Account
00-21007,Accrued PTO,Posting Account
00-21008,Accrued Federal Income Tax,Posting Account
00-21009,Accrued State Income Tax,Posting Account
00-21010,Accrued Fica,Posting Account
00-21011,Accrued Futa,Posting Account
00-21012,Accrued SUI,Posting Account
00-21013,Sales Tax Due,Posting Account
00-21014,Lodging Tax Due,Posting Account
00-21015,Accrued Health Insurance,Posting Account
00-21016,Accrued Dental Insurance,Posting Account
00-21017,Accrued Vision Insurance,Posting Account
00-21018,Accrued Life Insurance,Posting Account
00-21019,Accrued Disability Ins,Posting Account
00-21020,Accrued PR Deductions,Posting Account
00-21021,Accrued EAP,Posting Account
00-21022,Flexible Spending Withheld,Posting Account
00-21023,401(K) Employee,Posting Account
00-21024,Accrued Garnishment,Posting Account
00-21025,Accrued Supplemental Insure,Posting Account
00-21026,Accrued Investigation Fees,Posting Account
00-21027,Accrued W/C Fee,Posting Account
00-21028,Accrued 401(K) Contrib/Match,Posting Account
00-21029,Accrued Workers Comp,Posting Account
00-21030,Accrued-Retired Slot Liabilities,Posting Account
00-21031,Accrued In House Progressives,Posting Account
00-21032,Accrued Slots Contributions,Posting Account
00-21033,Slot Liabilities PW,Posting Account
00-21034,Gift Card Liability,Posting Account
00-21035,Accrued VIP Points,Posting Account
00-21036,Accrued 1042 Taxes,Posting Account
00-21037,Accrued W2G Taxes,Posting Account
00-21038,Accrued NIGC Fees,Posting Account
00-21039,Accrued Arcade Liability,Posting Account
00-21040,Accrued Revenue Sharing,Posting Account
00-21041,Accrued Regulatory Fees,Posting Account
00-21042,Accrued Responsible Gaming Fee,Posting Account
00-21043,Accrued Audit Fees,Posting Account
00-21044,Accrued Legal/Financial Fees,Posting Account
00-21045,Slot Ticket Liability,Posting Account
00-21046,Jackpot Safekeeping,Posting Account
00-21047,Accrued Workers Comp,Posting Account
00-21048,Banquet Deposits,Posting Account
00-21049,Hotel Deposits,Posting Account
00-21050,Accrued Slots Tips,Posting Account
00-21051,Accrued Food & Beverage Tips,Posting Account
00-21052,Accrued Gift Shop Tips,Posting Account
00-21053,Accrued Customer Service,Posting Account
00-21054,Accrued Cage Tips,Posting Account
00-21055,Accrued Tips,Posting Account
00-21056,Unearned Revenue-Entertaintain,Posting Account
00-21057,Unearned Revenue-Hotel,Posting Account
00-21058,Cigarette Tax Due,Posting Account
00-21059,Unclaimed Property Liability,Posting Account
00-21060,Hotel-,Posting Account
00-21061,Admin-Player's Club,Posting Account
00-21062,Admin-State Sales Tax,Posting Account
00-22000,TERO TAX PAYABLE,Posting Account
00-23000,Short Term Note -,Posting Account
00-23001,Current Portion Note -,Posting Account
00-23002,Current Portion Capital Lease,Posting Account
00-23004,Admin-Current Portion Note Payable,Posting Account
00-24000,Due To Related Parties,Posting Account
00-24001,Due To- YEDC,Posting Account
00-24002,Admin-Due To Yurok Tribe,Posting Account
00-25000,SWAP Liability,Posting Account
00-25001,Long Term Note - 1,Posting Account
00-25002,Long Term Note - 2,Posting Account
00-25003,Long Term Capital Lease,Posting Account
00-30000,Contributed Capital,Posting Account
00-30001,Capital Tribe,Posting Account
00-30002,Drawing Tribe,Posting Account
00-30003,Prior Period Adjustment,Posting Account
00-30004,Retained Earnings,Posting Account
00-30005,Net Income Current Year,Posting Account
00-40050,Admin-Misc Income,Posting Account
00-49510,Reimbursement Revenue-Admin,Posting Account
00-60001,Admin -Regular Wages,Posting Account
00-60003,Admin-PTO,Posting Account
00-60010,Admin Social Security Taxes,Posting Account
00-60011,Admin-Medicare Taxes,Posting Account
00-60012,Admin-SUTA Expense,Posting Account
00-60013,Admin-Workers Comp Expense,Posting Account
00-60014,Admin-Group Insurance - Health,Posting Account
00-60019,Admin-Employee Activities,Posting Account
00-62000,Admin-Advertising-Print and Art,Posting Account
00-62003,Admin-Advertising-Billboard,Posting Account
00-62008,Admin-Production-Print,Posting Account
00-62011,Admin-Production-Billboard,Posting Account
00-62013,Admin-Production-Website,Posting Account
00-62017,Admin-Special Events,Posting Account
00-67000,Admin-Travel Expense,Posting Account
00-67002,Admin-Training and Education,Posting Account
00-67005,Admin-Meals and Entertainment,Posting Account
00-68002,Admin-Professional Services,Posting Account
00-68003,Admin-Maintenance Contracts,Posting Account
00-68004,Admin- Bank Fees,Posting Account
00-69001,Admin-Insurance-Property,Posting Account
00-69002,Admin-Insurance-Liability,Posting Account
00-69003,Admin-Insurance-Crime,Posting Account
00-72000,Admin-RandM,Posting Account
00-72001,Admin-RandM - Equipment,Posting Account
00-75000,UTILITIES- CABLE TV,Posting Account
00-75001,Admin-Utilities,Posting Account
00-75002,Admin-Fuel/Propane,Posting Account
00-75005,Admin-Telephone Expense,Posting Account
00-75006,Admin-INTERNET EXPENSE,Posting Account
00-77002,Admin-Licenses and Fees,Posting Account
00-79003,Credit Card Fees-ADMIN,Posting Account
00-79004,Bank Service Fee,Posting Account
00-81003,Admin-Supplies,Posting Account
00-81004,Supplies-Cleaning,Posting Account
00-81008,Admin-Supplies,Posting Account
00-85000,Admin-Printing/Forms,Posting Account
00-85002,Admin-Equipment Lease and Rental,Posting Account
00-89000,Admin-Dues and Subscriptions,Posting Account
00-89001,Admin-Donations,Posting Account
00-89003,Admin-Tribal Directed Events,Posting Account
00-89011,Admin-Employee Appreciation,Posting Account
00-89018,Admin-Fines and Penalties,Posting Account
00-89031,Admin-Amortization Expense,Posting Account
00-89033,Admin-Interest Expense,Posting Account
00-89034,Admin- MISC EXPENSE,Posting Account
00-90000,Admin-Attendant Payouts,Posting Account
00-90001,Admin-Attendant Payouts Offset,Posting Account
00-90002,Admin-Carded Play (Coin,Posting Account
00-90003,Admin-Carded Play (Coin,Posting Account
00-90004,Admin-Stat. Meter,Posting Account
00-90005,Admin-Stat. Meter,Posting Account
00-90006,Admin-EGM Coin In,Posting Account
00-90007,Admin-EGM Coin In Offset,Posting Account
00-90008,Admin-EGM Machine Count,Posting Account
00-90009,Admin-EGM Machine Count Offset,Posting Account
00-90010,Admin-EGM Drop,Posting Account
00-90011,Admin-EGM Drop Offset,Posting Account
00-90012,Admin-EGM Net Win,Posting Account
00-90013,Admin-EGM Net Win Offet,Posting Account
00-90014,Admin-F&B Checks,Posting Account
00-90015,Admin-F&B Checks Offset,Posting Account
00-90016,Admin-F&B Revenue,Posting Account
00-90017,Admin-F&B Revenue Offset,Posting Account
00-90018,Admin-Machine # Statistical info,Posting Account
00-90019,Admin-Machine # Statistical offset,Posting Account
00-90020,Admin-Room Revenue,Posting Account
00-90021,Admin-Room Revenue offset,Posting Account
00-90022,Admin-Rooms,Posting Account
00-90023,Admin-Rooms Offset,Posting Account
00-90024,Admin-Room Total,Posting Account
00-90025,Admin-Room Total Offset,Posting Account
00-90026,Admin-Theoretical Hold,Posting Account
00-90027,Admin-Theoretical Hold Offset,Posting Account
01-18006,"F, F & E - HOTEL",Posting Account
01-40000,Slot In House Prog,Posting Account
01-40001,Slot Participation,Posting Account
01-40002,Slot Jackpots,Posting Account
01-40003,Slot Promo Players Club,Posting Account
01-40004,Slot VIP E-Cash,Posting Account
01-40005,Slot Revenue,Posting Account
01-40006,Slot Expired Tickets,Posting Account
01-40007,E-Promo Coupons,Posting Account
01-40008,Revenue,Posting Account
01-40009,Revenue,Posting Account
01-40010,Revenue,Posting Account
01-40011,Slots- Equipment Test Receipts,Posting Account
01-40050,Misc Income,Posting Account
01-43003,Slots-Alcohol Sales,Posting Account
01-49500,Slots-Other Income,Posting Account
01-50000,Slots-Food,Posting Account
01-51000,Slots-Beverage,Posting Account
01-52000,Slots-Alcohol,Posting Account
01-57000,Slots-Soft Goods,Posting Account
01-57001,Slots-Soft Goods,Posting Account
01-58000,Slot Promo Dollars Played,Posting Account
01-60000,Salaries,Posting Account
01-60001,Regular Wages,Posting Account
01-60002,Overtime,Posting Account
01-60003,PTO,Posting Account
01-60004,Bereavement Pay,Posting Account
01-60005,Jury Duty,Posting Account
01-60006,Commissions,Posting Account
01-60007,Training Wages,Posting Account
01-60008,Wages-Other,Posting Account
01-60009,Futa Expense,Posting Account
01-60010,Social Security Taxes,Posting Account
01-60011,Medicare Taxes,Posting Account
01-60012,SUTA Expense,Posting Account
01-60013,Workers Comp Expense,Posting Account
01-60014,Group Insurance - Health,Posting Account
01-60015,Group Insurance - Life,Posting Account
01-60016,Employee Pension,Posting Account
01-60017,Employee Meals,Posting Account
01-60018,Employee Relations,Posting Account
01-60019,Employee Activities,Posting Account
01-62000,Slots-Advertising-Print and Art,Posting Account
01-62002,Slots-Advertising-Radio,Posting Account
01-62003,Slots-Advertising-Billboard,Posting Account
01-62005,Slots-Advertising-Web Site,Posting Account
01-62006,Slots-Advertising-Direct Mail,Posting Account
01-62012,Slots-Production-Direct Mail,Posting Account
01-62014,Slots-Flowers/Decorations,Posting Account
01-62015,Slots-Promotion Giveaways,Posting Account
01-62017,Slots-Special Events,Posting Account
01-64000,Slot Payouts,Posting Account
01-64001,Slot Participation- Vendor %,Posting Account
01-64002,Customer Service,Posting Account
01-64003,Slot Conversions,Posting Account
01-64004,E-Games Variance (Machine Ticket Payout),Posting Account
01-64005,Commissions,Posting Account
01-64050,Progressive Net Change,Posting Account
01-67000,Travel Expense,Posting Account
01-67001,Travel Expense - NonEmp,Posting Account
01-67002,Training and Education,Posting Account
01-67003,Training and Education,Posting Account
01-67004,Employee Recruiting,Posting Account
01-67005,Meals and Entertainment,Posting Account
01-68000,Contract/Temp Labor,Posting Account
01-68002,Professional Services,Posting Account
01-68003,Maintenance Contracts,Posting Account
01-69001,Slots-Insurance-Property,Posting Account
01-69002,Slots-Insurance-Liability,Posting Account
01-69003,Slots-Insurance-Crime,Posting Account
01-71000,Building Lease,Posting Account
01-71001,Equipment Lease and Rental,Posting Account
01-71002,Storage Unit Rental,Posting Account
01-72000,RandM - Building,Posting Account
01-72001,RandM - Equipment,Posting Account
01-72002,RandM - Grounds,Posting Account
01-72003,RandM - Computer,Posting Account
01-72004,RandM - Vehicles,Posting Account
01-72005,RandM - Surveillance,Posting Account
01-74000,Intercompany Comps,Posting Account
01-74001,FandB Comps,Posting Account
01-74002,Hotel Comps,Posting Account
01-74003,Box Office Expense,Posting Account
01-74004,Intercompany Expense,Posting Account
01-75000,Utilities - Cable TV,Posting Account
01-75001,Utilities-Electric,Posting Account
01-75002,Fuel/Propane,Posting Account
01-75003,Sewer/ Sanitary and Trash,Posting Account
01-75004,Cellular Phones,Posting Account
01-75005,Telephone Expense,Posting Account
01-75006,Slots-INTERNET EXPENSE,Posting Account
01-77002,Slots-Licenses and Fees,Posting Account
01-77006,Slots-Equipment Test Disbursement,Posting Account
01-79001,Cash Short (Over),Posting Account
01-79002,Slots-Armored Car Services,Posting Account
01-81003,Supplies-Office,Posting Account
01-81004,Supplies-Cleaning,Posting Account
01-81006,Supplies-Gaming,Posting Account
01-81008,Supplies-Other,Posting Account
01-85000,Printing/Forms,Posting Account
01-85001,Uniforms,Posting Account
01-85002,Equipment Lease and Rental,Posting Account
01-85003,Small Tools and Equipment,Posting Account
01-85004,Postage and Freight,Posting Account
01-85005,Linen/Laundry Service,Posting Account
01-89000,Dues and Subscriptions,Posting Account
01-89003,Tribal Directed Events,Posting Account
01-89008,Over / Short,Posting Account
01-89011,Employee Appreciation,Posting Account
01-89036,Slots-Gaming Commission Fees,Posting Account
01-90000,Slots-Attendant Payouts,Posting Account
01-90001,Slots-Attendant Payouts O,Posting Account
01-90002,Slots-Carded Play (Coin-in),Posting Account
01-90003,Slots-Carded Play (Coin-in) Offset,Posting Account
01-90004,Slots-Stat. Meter - Coin Out,Posting Account
01-90005,Slots-Stat. Meter - Coin Out O,Posting Account
01-90006,Slots-EGM Coin In,Posting Account
01-90007,Slots-EGM Coin In Offset,Posting Account
01-90008,Slots-EGM Machine Count,Posting Account
01-90009,Slots-EGM Machine Count Offset,Posting Account
01-90010,Slots-EGM Drop,Posting Account
01-90011,Slots-EGM Drop Offset,Posting Account
01-90012,Slots-EGM Net Win,Posting Account
01-90013,Slots-EGM Net Win Offet,Posting Account
01-90018,Slots-F&B Revenue Offset,Posting Account
01-90019,Slots-Machine # Statistical info,Posting Account
20-13000,Hotel-Inv F&B - Prep Kitchen,Posting Account
20-13023,Hotel-Inv Retail-Hotel/Casino Floor,Posting Account
20-13024,Hotel-Inv Retail-Hotel/Casino BOH,Posting Account
20-13031,Hotel-Inventory Supplies,Posting Account
20-13036,Hotel-Inventory Stock - Uniforms,Posting Account
20-13037,Hotel-Inventory Stock - Other,Posting Account
20-13041,Hotel-Hotel-Inventory Supplies,Posting Account
20-18006,"Hotel-F, F & E-Hotel",Posting Account
20-21059,Hotel-,Posting Account
20-23004,Hotel-Current Portion Note Payable,Posting Account
20-25001,Hotel-Long Term Note - 1,Posting Account
20-25004,Hotel-Long Term Note Payable,Posting Account
20-42000,Room Revenue,Posting Account
20-42001,Banquet Room Revenue,Posting Account
20-42002,Comp Room Revenue,Posting Account
20-42003,Guest Laundry Revenue,Posting Account
20-42004,In Room Movies/Entertainment R,Posting Account
20-42005,Internet Service Revenue,Posting Account
20-42006,Telephone Revenue,Posting Account
20-42007,Misc Room Revenue,Posting Account
20-49000,Commission Income-Hotel,Posting Account
20-50000,Hotel-Food,Posting Account
20-51000,Hotel-Beverage,Posting Account
20-57000,Hotel-Royalty Fees,Posting Account
20-57001,Hotel-Soft Goods,Posting Account
20-58000,Hotel-Other-Sundries,Posting Account
20-58001,Hotel Other Sundries,Posting Account
20-60000,Salaries,Posting Account
20-60001,Regular Wages,Posting Account
20-60002,Overtime,Posting Account
20-60003,PTO,Posting Account
20-60004,Bereavement Pay,Posting Account
20-60005,Jury Duty,Posting Account
20-60006,Commissions,Posting Account
20-60007,Training Wages,Posting Account
20-60008,Wages-Other,Posting Account
20-60009,FUTA Expense,Posting Account
20-60010,Social Security Taxes,Posting Account
20-60011,Medicare Taxes,Posting Account
20-60012,SUTA Expense,Posting Account
20-60013,Workers Comp Expense,Posting Account
20-60014,Group Insurance - Health,Posting Account
20-60015,Group Insurance - Life,Posting Account
20-60016,Employee Pension,Posting Account
20-60017,Employee Meals,Posting Account
20-60018,Employee Relations,Posting Account
20-60019,Employee Activities,Posting Account
20-62000,Hotel-Advertising-Print and Art,Posting Account
20-62002,Hotel-Advertising-Radio,Posting Account
20-62003,Hotel-Advertising-Billboard,Posting Account
20-62005,Hotel-Advertising-Web Site,Posting Account
20-62014,Flowers/Decorations,Posting Account
