Account Number,Description,Account Type
50-85004,Postage and Freight,Posting Account
50-85005,Linen/Laundry Service,Posting Account
50-89000,Dues and Subscriptions,Posting Account
50-89003,Tribal Directed Events,Posting Account
50-89007,Assessments and Taxes,Posting Account
50-89008,Over / Short,Posting Account
50-89010,Employee Assistance Cost,Posting Account
50-89011,Employee Appreciation,Posting Account
61-60000,Salaries,Posting Account
61-60001,Regular Wages,Posting Account
61-60002,Overtime,Posting Account
61-60003,PTO,Posting Account
61-60004,Bereavement Pay,Posting Account
61-60005,Jury Duty,Posting Account
61-60006,Commissions,Posting Account
61-60007,Training Wages,Posting Account
61-60008,Wages-Other,Posting Account
61-60009,FUTA Expense,Posting Account
61-60010,Social Security Taxes,Posting Account
61-60011,Medicare Taxes,Posting Account
61-60012,SUTA Expense,Posting Account
61-60013,Workers Comp Expense,Posting Account
61-60014,Group Insurance - Health,Posting Account
61-60015,Group Insurance - Life,Posting Account
61-60016,Employee Pension,Posting Account
61-60017,Employee Meals,Posting Account
61-60018,Employee Relations,Posting Account
61-60019,Employee Activities,Posting Account
61-67000,Travel Expense,Posting Account
61-67001,Travel Expense - NonEmp,Posting Account
61-67002,Training and Education,Posting Account
61-67003,Training and Education,Posting Account
61-67004,Employee Recruiting,Posting Account
61-67005,Meals and Entertainment,Posting Account
61-68000,Contract/Temp Labor,Posting Account
61-68002,Professional Services,Posting Account
61-68003,Maintenance Contracts,Posting Account
61-71000,Building Lease,Posting Account
61-71001,Equipment Lease and Rental,Posting Account
61-71002,Storage Unit Rental,Posting Account
61-72000,RandM - Building,Posting Account
61-72001,RandM - Equipment,Posting Account
61-72002,RandM - Grounds,Posting Account
61-72003,RandM - Computer,Posting Account
61-72004,RandM - Vehicles,Posting Account
61-72005,RandM - Surveillance,Posting Account
61-73000,Vehicle - Fuel Expense,Posting Account
61-74000,Intercompany Comps,Posting Account
61-74001,FandB Comps,Posting Account
61-74002,Hotel Comps,Posting Account
61-74003,Box Office Expense,Posting Account
61-74004,Intercompany Expense,Posting Account
61-75000,UTILITIES- CABLE TV,Posting Account
61-75001,Utilities-Electric,Posting Account
61-75002,Fuel/Propane,Posting Account
61-75003,Sewer/ Sanitary and Trash,Posting Account
61-75004,Cellular Phones,Posting Account
61-75005,Telephone Expense,Posting Account
61-81003,Supplies-Office,Posting Account
61-81004,Supplies-Cleaning,Posting Account
61-81005,Supplies-Linen/Laundry,Posting Account
61-81008,Supplies-Other,Posting Account
61-85000,Printing/Forms,Posting Account
61-85001,Uniforms,Posting Account
61-85002,Equipment Lease and Rental,Posting Account
61-85003,Small Tools and Equipment,Posting Account
61-85004,Postage and Freight,Posting Account
61-85005,Linen/Laundry Service,Posting Account
61-85006,Fertilizer,Posting Account
61-85007,Chemicals,Posting Account
61-89000,Dues and Subscriptions,Posting Account
61-89003,Tribal Directed Events,Posting Account
61-89007,Assessments and Taxes,Posting Account
61-89008,Over / Short,Posting Account
61-89011,Employee Appreciation,Posting Account
65-75001,Utilities-Electric,Posting Account
65-75003,Sewer/ Sanitary and Trash,Posting Account
70-60000,Salaries,Posting Account
70-60001,Regular Wages,Posting Account
70-60002,Overtime,Posting Account
70-60003,PTO,Posting Account
70-60004,Bereavement Pay,Posting Account
70-60005,Jury Duty,Posting Account
70-60006,Commissions,Posting Account
70-60007,Training Wages,Posting Account
70-60008,Wages-Other,Posting Account
70-60009,FUTA Expense,Posting Account
70-60010,Social Security Taxes,Posting Account
70-60011,Medicare Taxes,Posting Account
70-60012,SUTA Expense,Posting Account
70-60013,Workers Comp Expense,Posting Account
70-60014,Group Insurance - Health,Posting Account
70-60015,Group Insurance - Life,Posting Account
70-60016,Employee Pension,Posting Account
70-60017,Employee Meals,Posting Account
70-60018,Employee Relations,Posting Account
70-60019,Employee Activities,Posting Account
70-64002,Customer Service,Posting Account
70-66000,Safety Program,Posting Account
70-66001,First Aid Supplies,Posting Account
70-67000,Travel Expense,Posting Account
70-67001,Travel Expense - NonEmp,Posting Account
70-67002,Training and Education,Posting Account
70-67003,Training and Education,Posting Account
70-67004,Employee Recruiting,Posting Account
70-67005,Meals and Entertainment,Posting Account
70-68000,Contract/Temp Labor,Posting Account
70-68002,Professional Services,Posting Account
70-68003,Maintenance Contracts,Posting Account
70-71000,Building Lease,Posting Account
70-71001,Equipment Lease and Rental,Posting Account
70-71002,Storage Unit Rental,Posting Account
70-72000,RandM - Building,Posting Account
70-72001,RandM - Equipment,Posting Account
70-72002,RandM - Grounds,Posting Account
70-72003,RandM - Computer,Posting Account
70-72004,RandM - Vehicles,Posting Account
70-72005,RandM - Surveillance,Posting Account
70-74000,Intercompany Comps,Posting Account
70-74001,FandB Comps,Posting Account
70-74002,Hotel Comps,Posting Account
70-74003,Box Office Expense,Posting Account
70-74004,Intercompany Expense,Posting Account
70-75000,UTILITIES- CABLE TV,Posting Account
70-75001,Utilities-Electric,Posting Account
70-75002,Fuel/Propane,Posting Account
70-75003,Sewer/ Sanitary and Trash,Posting Account
70-75004,Cellular Phones,Posting Account
70-75005,Telephone Expense,Posting Account
70-81003,Supplies-Office,Posting Account
70-81004,Supplies-Cleaning,Posting Account
70-81005,Supplies-Linen/Laundry,Posting Account
70-81008,Supplies-Other,Posting Account
70-85000,Printing/Forms,Posting Account
70-85001,Uniforms,Posting Account
70-85002,Equipment Lease and Rental,Posting Account
70-85003,Small Tools and Equipment,Posting Account
70-85004,Postage and Freight,Posting Account
70-85005,Linen/Laundry Service,Posting Account
70-89000,Dues and Subscriptions,Posting Account
70-89003,Tribal Directed Events,Posting Account
70-89006,Bad Debt Expense,Posting Account
70-89007,Assessments and Taxes,Posting Account
70-89008,Over / Short,Posting Account
70-89011,Employee Appreciation,Posting Account
75-17005,Surveillance-Building- Hotel/Casino,Posting Account
75-60000,Surveillance-Salaries,Posting Account
75-60001,Surveillance-Regular Wages,Posting Account
75-60009,FUTA Expense,Posting Account
75-60010,Surveillance-Social Security Taxes,Posting Account
75-60011,Surveillance-Medicare Taxes,Posting Account
75-60012,SUTA Expense,Posting Account
75-60013,Surveillance-Workers Comp Expense,Posting Account
75-60014,Surveillance-Group Insurance,Posting Account
75-67000,Surveillance-Travel Expense,Posting Account
75-67004,Employee Recruiting,Posting Account
75-81003,Surveillance-Supplies-Office,Posting Account
75-89036,Contract Gaming Commission,Posting Account
80-40010,ATM Fee Revenue,Posting Account
80-41000,Check Cashing Fee Revenue,Posting Account
80-60000,Salaries,Posting Account
80-60001,Regular Wages,Posting Account
80-60002,Overtime,Posting Account
80-60003,PTO,Posting Account
80-60004,Bereavement Pay,Posting Account
80-60005,Jury Duty,Posting Account
80-60006,Commissions,Posting Account
80-60007,Training Wages,Posting Account
80-60008,Wages-Other,Posting Account
80-60009,+,Posting Account
80-60010,Social Security Taxes,Posting Account
80-60011,Medicare Taxes,Posting Account
80-60012,SUTA Expense,Posting Account
80-60013,Workers Comp Expense,Posting Account
80-60014,Group Insurance - Health,Posting Account
80-60015,Group Insurance - Life,Posting Account
80-60016,Employee Pension,Posting Account
80-60017,Employee Meals,Posting Account
80-60018,Employee Relations,Posting Account
80-60019,Employee Activities,Posting Account
80-64002,Customer Service,Posting Account
80-67000,Travel Expense,Posting Account
80-67001,Travel Expense - NonEmp,Posting Account
80-67002,Training and Education,Posting Account
80-67003,Training and Education,Posting Account
80-67004,Employee Recruiting,Posting Account
80-67005,Meals and Entertainment,Posting Account
80-68002,Professional Services,Posting Account
80-68003,Maintenance Contracts,Posting Account
80-71000,Building Lease,Posting Account
80-71001,Equipment Lease and Rental,Posting Account
80-71002,Storage Unit Rental,Posting Account
80-72000,RandM - Building,Posting Account
80-72001,RandM - Equipment,Posting Account
80-72002,RandM - Grounds,Posting Account
80-72003,RandM - Computer,Posting Account
80-72004,RandM - Vehicles,Posting Account
80-72005,RandM - Surveillance,Posting Account
80-74000,Intercompany Comps,Posting Account
80-74001,FandB Comps,Posting Account
80-74002,Hotel Comps,Posting Account
80-74003,Box Office Expense,Posting Account
80-74004,Intercompany Expense,Posting Account
80-75000,UTILITIES- CABLE TV,Posting Account
80-75001,Utilities-Electric,Posting Account
80-75002,Fuel/Propane,Posting Account
80-75003,Sewer/ Sanitary and Trash,Posting Account
80-75004,Cellular Phones,Posting Account
80-75005,Telephone Expense,Posting Account
80-79000,Counterfeit Bills,Posting Account
80-79001,Cash Short (Over),Posting Account
80-79002,Armored Car Services,Posting Account
80-79003,Credit Card Fees,Posting Account
80-79004,Check Cashing Fees,Posting Account
80-81003,Supplies-Office,Posting Account
80-81004,Supplies-Cleaning,Posting Account
80-81005,Supplies-Linen/Laundry,Posting Account
80-81006,Cage-Supplies-Gaming,Posting Account
80-81008,Supplies-Other,Posting Account
80-85000,Printing/Forms,Posting Account
80-85001,Uniforms,Posting Account
80-85002,Equipment Lease and Rental,Posting Account
80-85003,Small Tools and Equipment,Posting Account
80-85004,Postage and Freight,Posting Account
80-85005,Linen/Laundry Service,Posting Account
80-89000,Dues and Subscriptions,Posting Account
80-89003,Tribal Directed Events,Posting Account
80-89006,Bad Debt Expense,Posting Account
80-89007,Assessments and Taxes,Posting Account
80-89008,Over / Short,Posting Account
80-89009,Background Investigations,Posting Account
80-89011,Employee Appreciation,Posting Account
82-47000,Interest Income,Posting Account
82-60000,Salaries,Posting Account
82-60001,Regular Wages,Posting Account
82-60002,Overtime,Posting Account
82-60003,PTO,Posting Account
82-60004,Bereavement Pay,Posting Account
82-60005,Jury Duty,Posting Account
82-60006,Commissions,Posting Account
82-60007,Training Wages,Posting Account
82-60008,Wages-Other,Posting Account
82-60009,Payroll Allocation,Posting Account
82-60010,Social Security Taxes,Posting Account
82-60011,Medicare Taxes,Posting Account
82-60012,SUTA Expense,Posting Account
82-60013,Workers Comp Expense,Posting Account
82-60014,Group Insurance - Health,Posting Account
82-60015,Group Insurance - Life,Posting Account
82-60016,Employee Pension,Posting Account
82-60017,Employee Meals,Posting Account
82-60018,Employee Relations,Posting Account
82-60019,Employee Activities,Posting Account
82-64002,Customer Service,Posting Account
82-65000,"Accounting-Furniture Fixtures<5,000",Posting Account
82-67000,Travel Expense,Posting Account
82-67001,Travel Expense - NonEmp,Posting Account
82-67002,Training and Education,Posting Account
82-67003,Training and Education,Posting Account
82-67004,Employee Recruiting,Posting Account
82-67005,Meals and Entertainment,Posting Account
82-68002,Professional Services,Posting Account
82-68003,Maintenance Contracts,Posting Account
82-68004,Accounting- Audit Expense,Posting Account
82-69004,Accounting-Insurance-Umbrella,Posting Account
82-71000,Building Lease,Posting Account
82-71001,Equipment Lease and Rental,Posting Account
82-71002,Storage Unit Rental,Posting Account
82-72000,RandM - Building,Posting Account
82-72001,RandM - Equipment,Posting Account
82-72002,RandM - Grounds,Posting Account
82-72003,RandM - Computer,Posting Account
82-72004,RandM - Vehicles,Posting Account
82-72005,RandM - Surveillance,Posting Account
82-74000,Intercompany Comps,Posting Account
82-74001,FandB Comps,Posting Account
82-74002,Hotel Comps,Posting Account
82-74003,Box Office Expense,Posting Account
82-74004,Intercompany Expense,Posting Account
82-75000,UTILITIES- CABLE TV,Posting Account
82-75001,Utilities-Electric,Posting Account
82-75002,Fuel/Propane,Posting Account
82-75003,Sewer/ Sanitary and Trash,Posting Account
82-75004,Cellular Phones,Posting Account
82-75005,Telephone Expense,Posting Account
82-77005,Accounting- Hosting Fees,Posting Account
82-79000,Counterfeit Bills,Posting Account
82-79001,Cash Short (Over),Posting Account
82-79002,Armored Car Services,Posting Account
82-79003,Credit Card Fees,Posting Account
82-79004,Bank Fees,Posting Account
82-81003,Supplies-Office,Posting Account
82-81004,Supplies-Cleaning,Posting Account
82-81005,Supplies-Linen/Laundry,Posting Account
82-81008,Supplies-Other,Posting Account
82-85000,Printing/Forms,Posting Account
82-85001,Uniforms,Posting Account
82-85002,Equipment Lease and Rental,Posting Account
82-85003,Small Tools and Equipment,Posting Account
82-85004,Postage and Freight,Posting Account
82-85005,Linen/Laundry Service,Posting Account
82-89000,Dues and Subscriptions,Posting Account
82-89003,Tribal Directed Events,Posting Account
82-89006,Bad Debt Expense,Posting Account
82-89007,Assessments and Taxes,Posting Account
82-89008,Over / Short,Posting Account
82-89009,Background Investigations,Posting Account
82-89011,Employee Appreciation,Posting Account
82-89022,Depreciation Expense - Artwork,Posting Account
82-89023,Depreciation Expense - Building,Posting Account
82-89024,"Depreciation Expense  - F,F & E",Posting Account
82-89025,Depreciation Expense- Vehicles,Posting Account
82-89026,Depreciation Expense - Computer Equipment,Posting Account
82-89028,Depreciation Expense - Land Improv,Posting Account
82-89029,Depreciation Expense - Gaming Equipment,Posting Account
82-89030,Depreciation Expense - Software,Posting Account
82-89031,Depreciation Expense- Telephone,Posting Account
82-89032,Depreciation Expense- Signage,Posting Account
82-89035,Operating Transfer IN,Posting Account
82-89036,Operating Transfers Out,Posting Account
82-89037,Operating Transfers Out,Posting Account
90-60000,Salaries,Posting Account
90-60001,Regular Wages,Posting Account
90-60002,Overtime,Posting Account
90-60003,PTO,Posting Account
90-60004,Bereavement Pay,Posting Account
90-60005,Jury Duty,Posting Account
90-60006,Commissions,Posting Account
90-60007,Training Wages,Posting Account
90-60008,Wages-Other,Posting Account
90-60009,FUTA Expense,Posting Account
90-60010,Social Security Taxes,Posting Account
90-60011,Medicare Taxes,Posting Account
90-60012,SUTA Expense,Posting Account
90-60013,Workers Comp Expense,Posting Account
90-60014,Group Insurance - Health,Posting Account
90-60015,Group Insurance - Life,Posting Account
90-60016,Employee Pension,Posting Account
90-60017,Employee Meals,Posting Account
90-60018,Employee Relations,Posting Account
90-60019,Employee Activities,Posting Account
90-62014,Flowers/Decorations,Posting Account
90-64002,Customer Service,Posting Account
90-67000,Travel Expense,Posting Account
90-67001,Travel Expense - NonEmp,Posting Account
90-67002,Training and Education,Posting Account
90-67003,Training and Education,Posting Account
90-67004,Employee Recruiting,Posting Account
90-67005,Meals and Entertainment,Posting Account
90-68000,IT-Contract/Temp Labor,Posting Account
90-68002,Professional Services,Posting Account
90-68003,Maintenance Contracts,Posting Account
90-69000,Insurance-Auto,Posting Account
90-69001,Insurance-Property,Posting Account
90-69002,Insurance-Liability,Posting Account
90-69003,Insurance-Crime,Posting Account
90-69004,Insurance-Umbrella,Posting Account
90-69005,Insurance Claims/Deductible,Posting Account
90-71000,Building Lease,Posting Account
90-71001,Equipment Lease and Rental,Posting Account
90-71002,Storage Unit Rental,Posting Account
90-72000,RandM - Building,Posting Account
90-72001,RandM - Equipment,Posting Account
90-72002,RandM - Grounds,Posting Account
90-72003,RandM - Computer,Posting Account
90-72004,RandM - Vehicles,Posting Account
90-72005,RandM - Surveillance,Posting Account
90-74000,Intercompany Comps,Posting Account
90-74001,FandB Comps,Posting Account
90-74002,Hotel Comps,Posting Account
90-74003,Box Office Expense,Posting Account
90-74004,Intercompany Expense,Posting Account
90-75000,UTILITIES- CABLE TV,Posting Account
90-75001,Utilities-Electric,Posting Account
90-75002,Fuel/Propane,Posting Account
90-75003,Sewer/ Sanitary and Trash,Posting Account
90-75004,Cellular Phones,Posting Account
90-75005,Telephone Expense,Posting Account
90-77000,Legal Fees,Posting Account
90-77001,NIGC Fees,Posting Account
90-77002,Licenses and Fees,Posting Account
90-77003,State Revenue Share,Posting Account
90-77004,Gaming Regulatory Fees,Posting Account
90-77007,IT-Software License Expense,Posting Account
90-81001,IT-,Posting Account
90-81003,Supplies-Office,Posting Account
90-81004,Supplies-Cleaning,Posting Account
90-81005,Supplies-Linen/Laundry,Posting Account
90-81006,IT-Supplies-Gaming,Posting Account
90-81008,Supplies-Other,Posting Account
90-85000,Printing/Forms,Posting Account
90-85001,Uniforms,Posting Account
90-85002,Equipment Lease and Rental,Posting Account
90-85003,Small Tools and Equipment,Posting Account
90-85004,Postage and Freight,Posting Account
90-85005,Linen/Laundry Service,Posting Account
90-89000,Dues and Subscriptions,Posting Account
90-89001,Donations,Posting Account
90-89002,Sponsorships,Posting Account
90-89003,Tribal Directed Events,Posting Account
90-89004,Inventory Valuation,Posting Account
90-89005,Obsolete Uniforms,Posting Account
90-89006,Bad Debt Expense,Posting Account
90-89007,Assessments and Taxes,Posting Account
90-89008,Over / Short,Posting Account
90-89010,Employee Assistance Cost,Posting Account
90-89011,Employee Appreciation,Posting Account
91-60001,Administration-Regular Wages,Posting Account
91-60002,Administration-Overtime,Posting Account
91-60003,Administration-PTO,Posting Account
91-60004,Administration-Bereavement Pay,Posting Account
91-60010,Administration-Social Security Taxes,Posting Account
91-60011,Administration-Medicare Taxes,Posting Account
91-60012,Administration-SUTA Expense,Posting Account
91-60013,Administration-Workers Comp Expense,Posting Account
92-18000,Unallocated-Fixed Asset Clearing,Posting Account
92-47000,Interest Income,Posting Account
92-47500,Discounts and Rebates,Posting Account
92-48000,Lease-Revenue,Posting Account
92-48001,Lease-Revenue,Posting Account
92-48002,Lease-Revenue,Posting Account
92-48003,Lease-Revenue,Posting Account
92-49000,Commission Income,Posting Account
92-49500,Other Income,Posting Account
92-60001,Unallocated-Regular Wages,Posting Account
92-60010,Unallocated-Social Security Taxes,Posting Account
92-60014,Unallocated-Group Insurance - Health,Posting Account
92-62014,Flowers/Decorations,Posting Account
92-64002,Customer Service,Posting Account
92-67000,Travel Expense,Posting Account
92-67001,Travel Expense - NonEmp,Posting Account
92-67002,Training and Education,Posting Account
92-67003,Training and Education,Posting Account
92-67004,Employee Recruiting,Posting Account
92-67005,Meals and Entertainment,Posting Account
92-68000,Unallocated-Contract/Temp Labor,Posting Account
92-68002,Professional Services,Posting Account
92-68003,Maintenance Contracts,Posting Account
92-69000,Insurance-Auto,Posting Account
92-69001,Insurance-Property,Posting Account
92-69002,Insurance-Liability,Posting Account
92-69003,Insurance-Crime,Posting Account
92-69004,Insurance-Umbrella,Posting Account
92-69005,Insurance Claims/Deductible,Posting Account
92-71000,Building Lease,Posting Account
92-71001,Equipment Lease and Rental,Posting Account
92-71002,Storage Unit Rental,Posting Account
92-72000,RandM - Building,Posting Account
92-72001,RandM - Equipment,Posting Account
92-72002,RandM - Grounds,Posting Account
92-72003,RandM - Computer,Posting Account
92-72004,RandM - Vehicles,Posting Account
92-72005,RandM - Surveillance,Posting Account
92-74000,Intercompany Comps,Posting Account
92-74001,FandB Comps,Posting Account
92-74002,Hotel Comps,Posting Account
92-74003,Box Office Expense,Posting Account
92-74004,Intercompany Expense,Posting Account
92-75000,UTILITIES- CABLE TV,Posting Account
92-75001,Utilities-Electric,Posting Account
92-75002,Fuel/Propane,Posting Account
92-75003,Sewer/ Sanitary and Trash,Posting Account
92-75004,Cellular Phones,Posting Account
92-75005,Telephone Expense,Posting Account
92-77000,Legal Fees,Posting Account
92-77001,NIGC Fees,Posting Account
92-77002,Licenses and Fees,Posting Account
92-77003,State Revenue Share,Posting Account
92-77004,Gaming Regulatory Fees,Posting Account
92-81003,Supplies-Office,Posting Account
92-81004,Supplies-Cleaning,Posting Account
92-81005,Supplies-Linen/Laundry,Posting Account
92-81008,Supplies-Other,Posting Account
92-85000,Printing/Forms,Posting Account
92-85001,Uniforms,Posting Account
92-85002,Equipment Lease and Rental,Posting Account
92-85003,Small Tools and Equipment,Posting Account
92-85004,Postage and Freight,Posting Account
92-85005,Linen/Laundry Service,Posting Account
92-89000,Dues and Subscriptions,Posting Account
92-89001,Donations,Posting Account
92-89002,Sponsorships,Posting Account
92-89003,Tribal Directed Events,Posting Account
92-89004,Inventory Valuation,Posting Account
92-89005,Obsolete Uniforms,Posting Account
92-89006,Bad Debt Expense,Posting Account
92-89007,Assessments and Taxes,Posting Account
92-89008,Over / Short,Posting Account
92-89010,Employee Assistance Cost,Posting Account
92-89011,Employee Appreciation,Posting Account
95-13043,Visitor Center-Gift Shop-Inv Retail-Boutique,Posting Account
95-14009,Visitor Center-Prepaid Other,Posting Account
95-21063,Accrued Advertising-Visitor Center,Posting Account
95-40009,Donation Revenue,Posting Account
95-43000,Visitor Center-Food Sales,Posting Account
95-44002,Visitor Center-Apparel Sales,Posting Account
95-44003,Visitor Center-Jewelry Sales,Posting Account
95-44007,Visitor Center-Merchandise Sales,Posting Account
95-45000,Visitor Center-Merchandise Sales,Posting Account
95-47500,Visitor Center-Discounts and Rebates,Posting Account
95-49500,Visitor Center-Other Income,Posting Account
95-50000,VC -Food,Posting Account
95-53000,Spoilage - VC,Posting Account
95-55000,VC -Merchandise,Posting Account
95-60000,Visitor Center-Salaries,Posting Account
95-60001,Visitor Center-Regular Wages,Posting Account
95-60009,FUTA Expense,Posting Account
95-60010,Visitor Center-Social Security Taxes,Posting Account
95-60011,Visitor Center-Medicare Taxes,Posting Account
95-60012,Visitor Center-SUTA Expense,Posting Account
95-60013,Visitor Center -Workers Comp Expense,Posting Account
95-60014,VC -Group Insurance - Health,Posting Account
95-62000,VC -Advertising-Print and Art,Posting Account
95-62002,Visitor Center -Advertising,Posting Account
95-62003,Visitor Center -Advertising,Posting Account
95-62004,VC-Advertising-Production,Posting Account
95-62005,VC-Advertising-Web Site,Posting Account
95-62006,Visitor Center-Advertising-Direct Mail,Posting Account
95-62009,Visitor Center-Production,Posting Account
95-62013,Visitor Center-Production,Posting Account
95-67000,Visitor Center-Travel Expense,Posting Account
95-67001,VC-Travel Expense - NonEmp,Posting Account
95-67004,VC -Employee Recruiting,Posting Account
95-68000,VC -Contract/Temp Labor,Posting Account
95-68002,VC -Professional Services,Posting Account
95-74003,Utilities- Water,Posting Account
95-75001,VC -Utilities-Electric,Posting Account
95-75003,VC -Sewer/ Sanitary and Trash,Posting Account
95-75005,VC-Telephone Expense,Posting Account
95-77002,VC-Licenses and Fees,Posting Account
95-79003,Credit Card Fees- Visitor Center,Posting Account
95-81008,VC -Supplies-Other,Posting Account
95-85002,Visitor Center-Equipment Lease and Rental,Posting Account
95-85003,Visitor Center-Small Tools and Equipment,Posting Account
95-85004,VC -Postage and Freight,Posting Account
95-89000,VC -Dues and Subscriptions,Posting Account
95-89035,OPERATING TRANSFER IN- Visitor Center,Posting Account
99-99999,Payroll Posting error,Posting Account
